symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2024-01-21 06:00:00+00:00,41599.2975,41859.6565,40666.345,41089.57,0.473013269,61.0,41478.9352398229
BTC/USD,2024-01-22 06:00:00+00:00,41084.6465,41271.5485,39390.4135,40034.465,1.988394132,156.0,40259.7098629961
BTC/USD,2024-01-23 06:00:00+00:00,40037.765,40217.301,38504.6665,39757.182,3.885810102,183.0,39178.8045122293
BTC/USD,2024-01-24 06:00:00+00:00,39772.264,40510.9,39442.409,39880.0,2.007844465,126.0,39908.3643079181
BTC/USD,2024-01-25 06:00:00+00:00,39876.32,40280.431,39522.525,40082.1735,5.087930308,106.0,39929.7906098447
BTC/USD,2024-01-26 06:00:00+00:00,40081.068,42233.127,39880.232,41755.4485,1.352020352,144.0,41341.6627288534
BTC/USD,2024-01-27 06:00:00+00:00,41756.953,42843.381,41397.809,42554.3,0.677005854,70.0,41826.5915366373
BTC/USD,2024-01-28 06:00:00+00:00,42578.18,42696.344,41630.275,42158.535,0.081383655,61.0,42343.2706250639
BTC/USD,2024-01-29 06:00:00+00:00,42159.445,43790.0,41806.1,43359.7,1.336654198,125.0,42779.647876982
BTC/USD,2024-01-30 06:00:00+00:00,43362.3,43855.4875,42657.12,42958.6855,1.715270249,100.0,43325.988797038
BTC/USD,2024-01-31 06:00:00+00:00,42959.08,43746.86,41836.7985,42112.0855,1.267030656,149.0,42702.152868189
BTC/USD,2024-02-01 06:00:00+00:00,42106.4195,43413.765,41909.9125,43094.05,3.281299052,122.0,42583.3234327585
BTC/USD,2024-02-02 06:00:00+00:00,43076.384,43456.443,42512.2040185755,43154.985,1.012193535,115.0,43005.15928698
BTC/USD,2024-02-03 06:00:00+00:00,43153.35,43255.243,42847.5285,42881.152,0.333019591,85.0,43043.3664919888
BTC/USD,2024-02-04 06:00:00+00:00,42872.0165,43103.1335,42232.5345,42750.55,0.315973968,66.0,42812.555245111
BTC/USD,2024-02-05 06:00:00+00:00,42754.63,43519.2575,42288.5875,42746.937,0.606404874,108.0,42849.7427179577
BTC/USD,2024-02-06 06:00:00+00:00,42733.285,43359.97,42613.5,43013.824,0.865373473,94.0,43087.631090601
BTC/USD,2024-02-07 06:00:00+00:00,42990.734,44780.205,42822.265,44548.49,4.170805263,148.0,43354.6508515272
BTC/USD,2024-02-08 06:00:00+00:00,44541.704,46390.165,43916.7203155175,46268.756,2.405754015,139.0,45246.0022188719
BTC/USD,2024-02-09 06:00:00+00:00,46250.346,48228.2385,44721.1724565755,47360.685,3.274467089,232.0,47291.9122718954
BTC/USD,2024-02-10 06:00:00+00:00,47357.4365,48604.12,46889.552,48259.205,0.371330453,105.0,47542.2050056151
BTC/USD,2024-02-11 06:00:00+00:00,48273.9005,48830.49,47967.435,48106.2555,1.372050522,94.0,48165.7464338852
BTC/USD,2024-02-12 06:00:00+00:00,48111.0,50370.555876574,46015.493287841,50075.225,7.33873641,319.0,49471.0560291474
BTC/USD,2024-02-13 06:00:00+00:00,50058.67,50271.15,48346.95,49567.151,1.323785985,170.0,49456.1484201231
BTC/USD,2024-02-14 06:00:00+00:00,49576.3275,52547.945,49542.715,51985.401,4.096984195,223.0,51777.0826535345
BTC/USD,2024-02-15 06:00:00+00:00,52000.203,52855.6,51363.959,52097.95,0.923858663,302.0,52104.6709319233
BTC/USD,2024-02-16 06:00:00+00:00,52099.562,52603.47,51635.55,51940.86,1.123847273,126.0,51953.2469304757
BTC/USD,2024-02-17 06:00:00+00:00,51925.2735,52041.3,50644.6145,51659.3465,1.872284487,103.0,51632.9362919307
BTC/USD,2024-02-18 06:00:00+00:00,51697.4,52420.8,51427.8,52158.055,0.244831494,389.0,51898.6868581638
BTC/USD,2024-02-19 06:00:00+00:00,52161.2,52514.223,51328.3655,51906.203,0.688697786,156.0,52157.715741
BTC/USD,2024-02-20 06:00:00+00:00,51902.335,53003.9,50775.632,51833.034,1.781378109,373.0,51433.7069627108
BTC/USD,2024-02-21 06:00:00+00:00,51862.628,51959.65,50633.62369727,51511.415,0.214622089,74.0,51056.6853322835
BTC/USD,2024-02-22 06:00:00+00:00,51510.57,52071.3,50924.935,51203.75,1.509113443,207.0,51547.534354577
BTC/USD,2024-02-23 06:00:00+00:00,51239.85,51314.8025,50529.505,51059.3055,0.625865796,133.0,50884.6547818927
BTC/USD,2024-02-24 06:00:00+00:00,51045.844,51901.0465,50937.578,51681.35,0.105965658,69.0,51361.9715689742
BTC/USD,2024-02-25 06:00:00+00:00,51653.142,51960.84,51294.3695,51567.793,0.179616307,181.0,51635.126658632
BTC/USD,2024-02-26 06:00:00+00:00,51590.7645,57771.6021526205,50914.48,56119.385,4.365615606,818.0,53729.1723640304
BTC/USD,2024-02-27 06:00:00+00:00,56070.612,57624.14,55857.13,57117.7595,2.566097696,397.0,56962.6210302051
BTC/USD,2024-02-28 06:00:00+00:00,57116.6395,64114.375314861,51116.625310173,62547.575,11.07236602,736.0,59869.4034778129
BTC/USD,2024-02-29 06:00:00+00:00,62495.135,63669.701,60368.985,61335.925,6.677049422,510.0,62004.0155700017
BTC/USD,2024-03-01 06:00:00+00:00,61318.614,63199.122,61150.8035,62079.7935,6.626800627,221.0,61998.4901195568
BTC/USD,2024-03-02 06:00:00+00:00,62066.1,62344.33,61637.715,61944.733,0.840388591,131.0,62031.3562011778
BTC/USD,2024-03-03 06:00:00+00:00,61934.7,64301.79,61411.06,63359.805,1.675955527,100.0,62617.1338362145
BTC/USD,2024-03-04 06:00:00+00:00,63414.362,68843.8555,63027.295285359,67002.88,11.111514001,689.0,66647.1650367126
BTC/USD,2024-03-05 06:00:00+00:00,66988.74,70025.188916876,59282.81,66418.9025,9.885717424,799.0,64582.3042837373
BTC/USD,2024-03-06 06:00:00+00:00,66498.075,67642.0,64751.65,65791.349,4.015954583,238.0,66906.3593716744
BTC/USD,2024-03-07 06:00:00+00:00,65873.3515,68075.625,65735.19,67057.56,2.298479068,169.0,67203.6942548472
